generic_name,commercial_name,presentation,active_substance,route,concentration,status
Omeprazol,"Prilosec 500",Pomada,Omeprazol,Ótica,"5 ml",active
Fluoxetina,"Prozac 600",Tabletas,Fluoxetina,Intramuscular,"50 mg/ml",active
Azitromicina,"Zithromax 900",Inyectable,Azitromicina,Intramuscular,"250 mg",active
Clonazepam,"Klonopin 400",Pomada,Clonazepam,Tópica,"100 mg",active
Omeprazol,"Prilosec 500",Crema,Omeprazol,Inhalatoria,"50 mg/ml",active
Paracetamol,"Tylenol 300",Inyectable,Paracetamol,Inhalatoria,"500 mg",active
Enalapril,"Vasotec 900",Jarabe,Enalapril,Intramuscular,"10 mg",active
Ciprofloxacino,"Cipro 900",Crema,Ciprofloxacino,Ótica,"1 g",active
Salbutamol,"Ventolin 500",Crema,Salbutamol,Ótica,"50 mg",active
Metformina,"Glucophage 400",Suspensión,Metformina,Tópica,"500 mg",active
Ibuprofeno,"Advil 800",Gotas,Ibuprofeno,Sublingual,"1 g",active
Ketorolaco,"Toradol 200",Crema,Ketorolaco,Oral,"100 ml",active
Ceftriaxona,"Rocephin 300",Inhalador,Ceftriaxona,Rectal,"400 mg",active
Ibuprofeno,"Advil 400",Tabletas,Ibuprofeno,Inhalatoria,"850 mg",active
Azitromicina,"Zithromax 800",Crema,Azitromicina,Ótica,"10 mg",active
Metformina,"Glucophage 100",Cápsulas,Metformina,Ótica,"400 mg",active
Ibuprofeno,"Advil 300",Pomada,Ibuprofeno,Oral,"5 ml",active
Fluoxetina,"Prozac 300",Gotas,Fluoxetina,Sublingual,"850 mg",active
Ibuprofeno,"Advil 300",Suspensión,Ibuprofeno,Sublingual,"5 ml",active
Ceftriaxona,"Rocephin 700",Pomada,Ceftriaxona,Ótica,"2 mg",active
Ceftriaxona,"Rocephin 400",Jarabe,Ceftriaxona,Sublingual,"5 ml",active
Naproxeno,"Aleve 900",Gotas,Naproxeno,Oftálmica,"1 g",active
Azitromicina,"Zithromax 500",Inyectable,Azitromicina,Rectal,"5 ml",active
Amoxicilina,"Amoxil 800",Inyectable,Amoxicilina,Rectal,"250 mg",active
Amoxicilina,"Amoxil 700",Supositorios,Amoxicilina,Intravenosa,"850 mg",active
Losartan,"Cozaar 900",Inyectable,Losartan,Ótica,"850 mg",active
Dexametasona,"Decadron 900",Suspensión,Dexametasona,Ótica,"500 mcg",active
Atorvastatina,"Lipitor 300",Inyectable,Atorvastatina,Sublingual,"500 mcg",active
Losartan,"Cozaar 400",Crema,Losartan,Oral,"5 ml",active
Paracetamol,"Tylenol 200",Supositorios,Paracetamol,Inhalatoria,"1 g",active
Naproxeno,"Aleve 800",Inhalador,Naproxeno,Intravenosa,"500 mg",active
Loratadina,"Claritin 100",Supositorios,Loratadina,Ótica,"400 mg",active
Naproxeno,"Aleve 900",Tabletas,Naproxeno,Intravenosa,"400 mg",active
Omeprazol,"Prilosec 300",Tabletas,Omeprazol,Oral,"20 mg",active
Diclofenaco,"Voltaren 400",Inhalador,Diclofenaco,Oftálmica,"400 mg",active
Amoxicilina,"Amoxil 600",Suspensión,Amoxicilina,Ótica,"20 mg",active
Naproxeno,"Aleve 500",Cápsulas,Naproxeno,Intravenosa,"20 mg",active
Naproxeno,"Aleve 600",Supositorios,Naproxeno,Oftálmica,"1 g",active
Ketorolaco,"Toradol 100",Suspensión,Ketorolaco,Intravenosa,"2 mg",active
Sertralina,"Zoloft 700",Jarabe,Sertralina,Intravenosa,"400 mg",active
Ceftriaxona,"Rocephin 900",Supositorios,Ceftriaxona,Oral,"5 ml",active
Metformina,"Glucophage 900",Supositorios,Metformina,Sublingual,"5 ml",active
Ciprofloxacino,"Cipro 300",Gotas,Ciprofloxacino,Oral,"850 mg",active
Sertralina,"Zoloft 900",Inhalador,Sertralina,Rectal,"1 g",active
Ciprofloxacino,"Cipro 200",Supositorios,Ciprofloxacino,Inhalatoria,"500 mcg",active
Diclofenaco,"Voltaren 500",Inyectable,Diclofenaco,Sublingual,"250 mg",active
Naproxeno,"Aleve 200",Gotas,Naproxeno,Intravenosa,"50 mg",active
Azitromicina,"Zithromax 800",Cápsulas,Azitromicina,Intravenosa,"500 mcg",active
Enalapril,"Vasotec 800",Inyectable,Enalapril,Rectal,"500 mcg",active
Ketorolaco,"Toradol 600",Inhalador,Ketorolaco,Tópica,"400 mg",active
Ibuprofeno,"Advil 900",Cápsulas,Ibuprofeno,Oftálmica,"100 ml",active
Metformina,"Glucophage 200",Supositorios,Metformina,Sublingual,"500 mg",active
Enalapril,"Vasotec 700",Inyectable,Enalapril,Sublingual,"20 mg",active
Salbutamol,"Ventolin 200",Jarabe,Salbutamol,Oral,"400 mg",active
Atorvastatina,"Lipitor 700",Inyectable,Atorvastatina,Intravenosa,"100 mg",active
Omeprazol,"Prilosec 300",Inhalador,Omeprazol,Tópica,"850 mg",active
Omeprazol,"Prilosec 900",Inhalador,Omeprazol,Intramuscular,"850 mg",active
Amoxicilina,"Amoxil 800",Cápsulas,Amoxicilina,Intravenosa,"500 mg",active
Amoxicilina,"Amoxil 400",Tabletas,Amoxicilina,Ótica,"500 mcg",active
Azitromicina,"Zithromax 600",Suspensión,Azitromicina,Intramuscular,"100 mg",active
Dexametasona,"Decadron 900",Inhalador,Dexametasona,Oral,"400 mg",active
Salbutamol,"Ventolin 800",Inhalador,Salbutamol,Sublingual,"850 mg",active
Losartan,"Cozaar 300",Pomada,Losartan,Ótica,"500 mcg",active
Atorvastatina,"Lipitor 100",Crema,Atorvastatina,Sublingual,"50 mg/ml",active
Atorvastatina,"Lipitor 400",Cápsulas,Atorvastatina,Oftálmica,"50 mg/ml",active
Dexametasona,"Decadron 800",Cápsulas,Dexametasona,Inhalatoria,"5 ml",active
Dexametasona,"Decadron 500",Crema,Dexametasona,Oral,"100 ml",active
Ceftriaxona,"Rocephin 900",Tabletas,Ceftriaxona,Sublingual,"50 mg/ml",active
Amoxicilina,"Amoxil 900",Pomada,Amoxicilina,Oftálmica,"400 mg",active
Fluoxetina,"Prozac 600",Jarabe,Fluoxetina,Inhalatoria,"500 mcg",active
Salbutamol,"Ventolin 600",Gotas,Salbutamol,Ótica,"50 mg",active
Atorvastatina,"Lipitor 200",Inyectable,Atorvastatina,Ótica,"250 mg",active
Loratadina,"Claritin 500",Suspensión,Loratadina,Inhalatoria,"100 ml",active
Azitromicina,"Zithromax 300",Crema,Azitromicina,Rectal,"5 ml",active
Azitromicina,"Zithromax 400",Pomada,Azitromicina,Inhalatoria,"50 mg/ml",active
Sertralina,"Zoloft 300",Gotas,Sertralina,Tópica,"50 mg/ml",active
Naproxeno,"Aleve 800",Inyectable,Naproxeno,Oftálmica,"400 mg",active
Ceftriaxona,"Rocephin 800",Cápsulas,Ceftriaxona,Oftálmica,"400 mg",active
Paracetamol,"Tylenol 900",Cápsulas,Paracetamol,Oftálmica,"850 mg",active
Clonazepam,"Klonopin 600",Suspensión,Clonazepam,Intravenosa,"5 ml",active
Fluoxetina,"Prozac 500",Inhalador,Fluoxetina,Tópica,"50 mg/ml",active
Dexametasona,"Decadron 800",Pomada,Dexametasona,Intravenosa,"100 ml",active
Naproxeno,"Aleve 900",Tabletas,Naproxeno,Rectal,"10 mg",active
Clonazepam,"Klonopin 200",Inhalador,Clonazepam,Inhalatoria,"2 mg",active
Clonazepam,"Klonopin 400",Jarabe,Clonazepam,Oftálmica,"10 mg",active
Salbutamol,"Ventolin 600",Suspensión,Salbutamol,Oral,"2 mg",active
Ketorolaco,"Toradol 300",Gotas,Ketorolaco,Tópica,"10 mg",active
Diclofenaco,"Voltaren 800",Supositorios,Diclofenaco,Intravenosa,"1 g",active
Paracetamol,"Tylenol 100",Cápsulas,Paracetamol,Rectal,"10 mg",active
Ciprofloxacino,"Cipro 800",Crema,Ciprofloxacino,Rectal,"850 mg",active
Salbutamol,"Ventolin 200",Inyectable,Salbutamol,Intramuscular,"1 g",active
Omeprazol,"Prilosec 200",Tabletas,Omeprazol,Intramuscular,"500 mcg",active
Loratadina,"Claritin 800",Cápsulas,Loratadina,Rectal,"5 ml",active
Dexametasona,"Decadron 500",Pomada,Dexametasona,Inhalatoria,"100 mg",active
Metformina,"Glucophage 300",Supositorios,Metformina,Oral,"10 mg",active
Ciprofloxacino,"Cipro 200",Jarabe,Ciprofloxacino,Intramuscular,"2 mg",active
Enalapril,"Vasotec 500",Tabletas,Enalapril,Intramuscular,"50 mg/ml",active
Losartan,"Cozaar 100",Inyectable,Losartan,Intramuscular,"50 mg",active
Ciprofloxacino,"Cipro 400",Suspensión,Ciprofloxacino,Intravenosa,"2 mg",active
Diclofenaco,"Voltaren 200",Jarabe,Diclofenaco,Rectal,"1 g",active
Ketorolaco,"Toradol 400",Jarabe,Ketorolaco,Intravenosa,"50 mg/ml",active
Dexametasona,"Decadron 400",Supositorios,Dexametasona,Tópica,"250 mg",active
Naproxeno,"Aleve 500",Crema,Naproxeno,Tópica,"850 mg",active
Paracetamol,"Tylenol 100",Pomada,Paracetamol,Oral,"50 mg",active
Enalapril,"Vasotec 700",Cápsulas,Enalapril,Tópica,"5 ml",active
Clonazepam,"Klonopin 200",Supositorios,Clonazepam,Oftálmica,"100 mg",active
Losartan,"Cozaar 200",Inhalador,Losartan,Ótica,"5 ml",active
Ketorolaco,"Toradol 700",Crema,Ketorolaco,Inhalatoria,"850 mg",active
Ceftriaxona,"Rocephin 900",Suspensión,Ceftriaxona,Sublingual,"1 g",active
Ibuprofeno,"Advil 200",Gotas,Ibuprofeno,Oral,"500 mg",active
Omeprazol,"Prilosec 800",Inhalador,Omeprazol,Intravenosa,"400 mg",active
Losartan,"Cozaar 700",Cápsulas,Losartan,Tópica,"100 ml",active
Clonazepam,"Klonopin 200",Suspensión,Clonazepam,Sublingual,"5 ml",active
Ketorolaco,"Toradol 300",Inhalador,Ketorolaco,Inhalatoria,"500 mcg",active
Dexametasona,"Decadron 400",Cápsulas,Dexametasona,Tópica,"500 mg",active
Ciprofloxacino,"Cipro 300",Jarabe,Ciprofloxacino,Intravenosa,"50 mg/ml",active
Ketorolaco,"Toradol 900",Inhalador,Ketorolaco,Intravenosa,"100 mg",active
Salbutamol,"Ventolin 400",Pomada,Salbutamol,Tópica,"20 mg",active
Paracetamol,"Tylenol 900",Suspensión,Paracetamol,Inhalatoria,"850 mg",active
Enalapril,"Vasotec 300",Crema,Enalapril,Intramuscular,"100 ml",active
Azitromicina,"Zithromax 700",Pomada,Azitromicina,Sublingual,"500 mg",active
Dexametasona,"Decadron 100",Pomada,Dexametasona,Intramuscular,"50 mg/ml",active
Enalapril,"Vasotec 900",Inyectable,Enalapril,Oftálmica,"100 ml",active
Paracetamol,"Tylenol 300",Gotas,Paracetamol,Rectal,"1 g",active
Diclofenaco,"Voltaren 600",Jarabe,Diclofenaco,Inhalatoria,"2 mg",active
Loratadina,"Claritin 800",Tabletas,Loratadina,Ótica,"250 mg",active
Dexametasona,"Decadron 800",Cápsulas,Dexametasona,Tópica,"2 mg",active
Atorvastatina,"Lipitor 300",Cápsulas,Atorvastatina,Rectal,"500 mg",active
Clonazepam,"Klonopin 400",Suspensión,Clonazepam,Tópica,"2 mg",active
Ciprofloxacino,"Cipro 800",Inyectable,Ciprofloxacino,Oftálmica,"50 mg/ml",active
Sertralina,"Zoloft 700",Crema,Sertralina,Intravenosa,"850 mg",active
Diclofenaco,"Voltaren 900",Gotas,Diclofenaco,Tópica,"2 mg",active
Enalapril,"Vasotec 200",Inhalador,Enalapril,Oftálmica,"1 g",active
Clonazepam,"Klonopin 400",Cápsulas,Clonazepam,Ótica,"5 ml",active
Atorvastatina,"Lipitor 600",Tabletas,Atorvastatina,Oral,"50 mg",active
Losartan,"Cozaar 400",Inyectable,Losartan,Intramuscular,"2 mg",active
Paracetamol,"Tylenol 200",Suspensión,Paracetamol,Ótica,"250 mg",active
Amoxicilina,"Amoxil 400",Gotas,Amoxicilina,Intramuscular,"500 mg",active
Ciprofloxacino,"Cipro 500",Tabletas,Ciprofloxacino,Inhalatoria,"500 mg",active
Metformina,"Glucophage 400",Inyectable,Metformina,Ótica,"850 mg",active
Diclofenaco,"Voltaren 300",Pomada,Diclofenaco,Oftálmica,"100 ml",active
Dexametasona,"Decadron 100",Inhalador,Dexametasona,Sublingual,"20 mg",active
Sertralina,"Zoloft 800",Inhalador,Sertralina,Rectal,"10 mg",active
Loratadina,"Claritin 900",Inyectable,Loratadina,Rectal,"5 ml",active
Ciprofloxacino,"Cipro 200",Jarabe,Ciprofloxacino,Oral,"50 mg",active
Enalapril,"Vasotec 300",Crema,Enalapril,Inhalatoria,"20 mg",active
Ibuprofeno,"Advil 200",Inhalador,Ibuprofeno,Inhalatoria,"50 mg",active
Salbutamol,"Ventolin 300",Suspensión,Salbutamol,Oftálmica,"100 ml",active
Ceftriaxona,"Rocephin 800",Jarabe,Ceftriaxona,Oral,"250 mg",active
Clonazepam,"Klonopin 300",Tabletas,Clonazepam,Intramuscular,"400 mg",active
Loratadina,"Claritin 100",Cápsulas,Loratadina,Rectal,"400 mg",active
Naproxeno,"Aleve 800",Suspensión,Naproxeno,Tópica,"100 mg",active
Metformina,"Glucophage 900",Inhalador,Metformina,Inhalatoria,"50 mg",active
Metformina,"Glucophage 300",Crema,Metformina,Intravenosa,"100 ml",active
Ceftriaxona,"Rocephin 100",Inyectable,Ceftriaxona,Rectal,"50 mg",active
Losartan,"Cozaar 100",Inhalador,Losartan,Inhalatoria,"50 mg/ml",active
Naproxeno,"Aleve 800",Suspensión,Naproxeno,Intravenosa,"500 mg",active
Naproxeno,"Aleve 100",Cápsulas,Naproxeno,Sublingual,"250 mg",active
Metformina,"Glucophage 300",Gotas,Metformina,Rectal,"850 mg",active
Fluoxetina,"Prozac 400",Cápsulas,Fluoxetina,Sublingual,"100 mg",active
Amoxicilina,"Amoxil 900",Supositorios,Amoxicilina,Intravenosa,"500 mg",active
Metformina,"Glucophage 400",Tabletas,Metformina,Rectal,"50 mg",active
Metformina,"Glucophage 900",Cápsulas,Metformina,Intramuscular,"400 mg",active
Losartan,"Cozaar 600",Pomada,Losartan,Sublingual,"1 g",active
Paracetamol,"Tylenol 500",Cápsulas,Paracetamol,Oral,"500 mg",active
Ketorolaco,"Toradol 300",Pomada,Ketorolaco,Intravenosa,"10 mg",active
Ibuprofeno,"Advil 100",Tabletas,Ibuprofeno,Ótica,"10 mg",active
Losartan,"Cozaar 700",Gotas,Losartan,Oftálmica,"500 mcg",active
Clonazepam,"Klonopin 100",Jarabe,Clonazepam,Ótica,"20 mg",active
Amoxicilina,"Amoxil 800",Cápsulas,Amoxicilina,Oral,"50 mg/ml",active
Enalapril,"Vasotec 400",Crema,Enalapril,Rectal,"10 mg",active
Azitromicina,"Zithromax 200",Supositorios,Azitromicina,Rectal,"50 mg/ml",active
Losartan,"Cozaar 100",Inyectable,Losartan,Tópica,"10 mg",active
Naproxeno,"Aleve 600",Tabletas,Naproxeno,Tópica,"2 mg",active
Atorvastatina,"Lipitor 100",Inhalador,Atorvastatina,Intravenosa,"100 mg",active
Losartan,"Cozaar 200",Crema,Losartan,Rectal,"50 mg/ml",active
Loratadina,"Claritin 600",Gotas,Loratadina,Oftálmica,"1 g",active
Ibuprofeno,"Advil 800",Tabletas,Ibuprofeno,Intravenosa,"2 mg",active
Omeprazol,"Prilosec 200",Inyectable,Omeprazol,Intravenosa,"1 g",active
Naproxeno,"Aleve 200",Inyectable,Naproxeno,Rectal,"5 ml",active
Paracetamol,"Tylenol 900",Inhalador,Paracetamol,Intravenosa,"50 mg",active
Amoxicilina,"Amoxil 800",Inyectable,Amoxicilina,Intravenosa,"500 mg",active
Metformina,"Glucophage 500",Inyectable,Metformina,Sublingual,"5 ml",active
Ibuprofeno,"Advil 600",Suspensión,Ibuprofeno,Tópica,"400 mg",active
Loratadina,"Claritin 900",Suspensión,Loratadina,Sublingual,"100 mg",active
Ibuprofeno,"Advil 200",Jarabe,Ibuprofeno,Ótica,"250 mg",active
Atorvastatina,"Lipitor 400",Supositorios,Atorvastatina,Tópica,"10 mg",active
Paracetamol,"Tylenol 200",Cápsulas,Paracetamol,Intramuscular,"400 mg",active
Azitromicina,"Zithromax 300",Gotas,Azitromicina,Tópica,"50 mg/ml",active
Sertralina,"Zoloft 600",Supositorios,Sertralina,Oral,"500 mg",active
Loratadina,"Claritin 600",Inhalador,Loratadina,Ótica,"400 mg",active
Ibuprofeno,"Advil 900",Cápsulas,Ibuprofeno,Rectal,"100 mg",active
Fluoxetina,"Prozac 800",Suspensión,Fluoxetina,Ótica,"50 mg",active
Fluoxetina,"Prozac 300",Jarabe,Fluoxetina,Rectal,"2 mg",active
Fluoxetina,"Prozac 500",Suspensión,Fluoxetina,Intramuscular,"50 mg/ml",active
Atorvastatina,"Lipitor 400",Crema,Atorvastatina,Inhalatoria,"250 mg",active
Naproxeno,"Aleve 300",Suspensión,Naproxeno,Intravenosa,"50 mg/ml",active
Diclofenaco,"Voltaren 900",Gotas,Diclofenaco,Inhalatoria,"500 mg",active
Salbutamol,"Ventolin 300",Crema,Salbutamol,Intravenosa,"1 g",active
Clonazepam,"Klonopin 900",Suspensión,Clonazepam,Intramuscular,"20 mg",active
Fluoxetina,"Prozac 800",Tabletas,Fluoxetina,Oftálmica,"1 g",active
Sertralina,"Zoloft 300",Cápsulas,Sertralina,Ótica,"400 mg",active
Losartan,"Cozaar 800",Tabletas,Losartan,Ótica,"500 mcg",active
Fluoxetina,"Prozac 900",Tabletas,Fluoxetina,Intravenosa,"500 mcg",active
Clonazepam,"Klonopin 300",Crema,Clonazepam,Oftálmica,"100 mg",active
Paracetamol,"Tylenol 700",Inyectable,Paracetamol,Intramuscular,"50 mg/ml",active
Azitromicina,"Zithromax 200",Supositorios,Azitromicina,Inhalatoria,"2 mg",active
Ciprofloxacino,"Cipro 100",Pomada,Ciprofloxacino,Tópica,"500 mcg",active
Sertralina,"Zoloft 900",Inhalador,Sertralina,Intravenosa,"5 ml",active
Loratadina,"Claritin 400",Tabletas,Loratadina,Ótica,"250 mg",active
Ketorolaco,"Toradol 700",Cápsulas,Ketorolaco,Inhalatoria,"250 mg",active
Paracetamol,"Tylenol 100",Jarabe,Paracetamol,Intravenosa,"500 mg",active
Atorvastatina,"Lipitor 900",Suspensión,Atorvastatina,Oftálmica,"500 mg",active
Sertralina,"Zoloft 500",Pomada,Sertralina,Rectal,"10 mg",active
Amoxicilina,"Amoxil 200",Inyectable,Amoxicilina,Oftálmica,"250 mg",active
Atorvastatina,"Lipitor 100",Suspensión,Atorvastatina,Rectal,"1 g",active
Clonazepam,"Klonopin 100",Pomada,Clonazepam,Intravenosa,"2 mg",active
Loratadina,"Claritin 600",Supositorios,Loratadina,Tópica,"1 g",active
Losartan,"Cozaar 900",Gotas,Losartan,Oftálmica,"20 mg",active
Losartan,"Cozaar 700",Jarabe,Losartan,Intramuscular,"250 mg",active
Ciprofloxacino,"Cipro 800",Supositorios,Ciprofloxacino,Oral,"50 mg/ml",active
Ciprofloxacino,"Cipro 700",Supositorios,Ciprofloxacino,Ótica,"850 mg",active
Omeprazol,"Prilosec 900",Tabletas,Omeprazol,Oftálmica,"100 mg",active
Paracetamol,"Tylenol 400",Supositorios,Paracetamol,Intravenosa,"2 mg",active
Ketorolaco,"Toradol 300",Gotas,Ketorolaco,Inhalatoria,"500 mcg",active
Enalapril,"Vasotec 900",Suspensión,Enalapril,Rectal,"50 mg",active
Fluoxetina,"Prozac 800",Suspensión,Fluoxetina,Intramuscular,"500 mg",active
Atorvastatina,"Lipitor 500",Inyectable,Atorvastatina,Oral,"10 mg",active
Enalapril,"Vasotec 500",Suspensión,Enalapril,Rectal,"2 mg",active
Salbutamol,"Ventolin 100",Inyectable,Salbutamol,Intravenosa,"20 mg",active
Ketorolaco,"Toradol 700",Pomada,Ketorolaco,Inhalatoria,"50 mg",active
Azitromicina,"Zithromax 500",Inyectable,Azitromicina,Oral,"100 ml",active
Enalapril,"Vasotec 800",Jarabe,Enalapril,Oral,"50 mg/ml",active
Dexametasona,"Decadron 200",Tabletas,Dexametasona,Tópica,"2 mg",active
Enalapril,"Vasotec 600",Inyectable,Enalapril,Inhalatoria,"2 mg",active
Amoxicilina,"Amoxil 800",Cápsulas,Amoxicilina,Sublingual,"500 mg",active
Atorvastatina,"Lipitor 600",Inyectable,Atorvastatina,Intramuscular,"2 mg",active
Ciprofloxacino,"Cipro 400",Supositorios,Ciprofloxacino,Rectal,"50 mg",active
Ibuprofeno,"Advil 900",Cápsulas,Ibuprofeno,Oftálmica,"500 mg",active
Loratadina,"Claritin 200",Inhalador,Loratadina,Inhalatoria,"850 mg",active
Loratadina,"Claritin 100",Supositorios,Loratadina,Inhalatoria,"100 mg",active
Ciprofloxacino,"Cipro 500",Jarabe,Ciprofloxacino,Sublingual,"20 mg",active
Ketorolaco,"Toradol 500",Gotas,Ketorolaco,Ótica,"10 mg",active
Clonazepam,"Klonopin 100",Inhalador,Clonazepam,Inhalatoria,"250 mg",active
Diclofenaco,"Voltaren 100",Supositorios,Diclofenaco,Ótica,"250 mg",active
Paracetamol,"Tylenol 300",Inhalador,Paracetamol,Intravenosa,"2 mg",active
Salbutamol,"Ventolin 500",Supositorios,Salbutamol,Oral,"10 mg",active
Ibuprofeno,"Advil 800",Inyectable,Ibuprofeno,Oftálmica,"20 mg",active
Metformina,"Glucophage 800",Inhalador,Metformina,Intramuscular,"100 mg",active
Clonazepam,"Klonopin 900",Suspensión,Clonazepam,Inhalatoria,"250 mg",active
Diclofenaco,"Voltaren 300",Tabletas,Diclofenaco,Inhalatoria,"2 mg",active
Ketorolaco,"Toradol 500",Inhalador,Ketorolaco,Tópica,"850 mg",active
Atorvastatina,"Lipitor 600",Suspensión,Atorvastatina,Rectal,"50 mg",active
Ketorolaco,"Toradol 700",Suspensión,Ketorolaco,Tópica,"2 mg",active
Loratadina,"Claritin 800",Suspensión,Loratadina,Intravenosa,"5 ml",active
Naproxeno,"Aleve 500",Suspensión,Naproxeno,Inhalatoria,"250 mg",active
Fluoxetina,"Prozac 600",Gotas,Fluoxetina,Intramuscular,"20 mg",active
Clonazepam,"Klonopin 300",Tabletas,Clonazepam,Tópica,"2 mg",active
Omeprazol,"Prilosec 500",Tabletas,Omeprazol,Sublingual,"20 mg",active
Ciprofloxacino,"Cipro 700",Supositorios,Ciprofloxacino,Oftálmica,"100 ml",active
Ibuprofeno,"Advil 500",Cápsulas,Ibuprofeno,Intramuscular,"250 mg",active
Losartan,"Cozaar 800",Cápsulas,Losartan,Sublingual,"100 mg",active
Clonazepam,"Klonopin 300",Cápsulas,Clonazepam,Tópica,"1 g",active
Fluoxetina,"Prozac 200",Pomada,Fluoxetina,Oral,"50 mg",active
Clonazepam,"Klonopin 600",Tabletas,Clonazepam,Intravenosa,"100 mg",active
Ibuprofeno,"Advil 200",Supositorios,Ibuprofeno,Tópica,"10 mg",active
Paracetamol,"Tylenol 100",Tabletas,Paracetamol,Tópica,"20 mg",active
Loratadina,"Claritin 900",Inhalador,Loratadina,Inhalatoria,"50 mg",active
Loratadina,"Claritin 900",Jarabe,Loratadina,Intravenosa,"50 mg/ml",active
Ciprofloxacino,"Cipro 800",Pomada,Ciprofloxacino,Sublingual,"50 mg",active
Enalapril,"Vasotec 400",Jarabe,Enalapril,Oral,"400 mg",active
Enalapril,"Vasotec 400",Tabletas,Enalapril,Oftálmica,"250 mg",active
Metformina,"Glucophage 300",Pomada,Metformina,Inhalatoria,"250 mg",active
Paracetamol,"Tylenol 600",Jarabe,Paracetamol,Inhalatoria,"850 mg",active
Salbutamol,"Ventolin 100",Pomada,Salbutamol,Tópica,"1 g",active
Salbutamol,"Ventolin 400",Suspensión,Salbutamol,Oftálmica,"5 ml",active
Salbutamol,"Ventolin 900",Suspensión,Salbutamol,Sublingual,"500 mg",active
Ciprofloxacino,"Cipro 200",Cápsulas,Ciprofloxacino,Inhalatoria,"100 mg",active
Atorvastatina,"Lipitor 200",Pomada,Atorvastatina,Sublingual,"250 mg",active
Losartan,"Cozaar 100",Tabletas,Losartan,Sublingual,"2 mg",active
Enalapril,"Vasotec 100",Crema,Enalapril,Rectal,"500 mg",active
Ketorolaco,"Toradol 400",Tabletas,Ketorolaco,Sublingual,"100 mg",active
Atorvastatina,"Lipitor 400",Cápsulas,Atorvastatina,Intravenosa,"500 mg",active
Clonazepam,"Klonopin 400",Cápsulas,Clonazepam,Tópica,"50 mg/ml",active
Ceftriaxona,"Rocephin 700",Tabletas,Ceftriaxona,Ótica,"250 mg",active
Ibuprofeno,"Advil 400",Tabletas,Ibuprofeno,Tópica,"250 mg",active
Metformina,"Glucophage 100",Cápsulas,Metformina,Intravenosa,"20 mg",active
Metformina,"Glucophage 700",Inhalador,Metformina,Oftálmica,"850 mg",active
Fluoxetina,"Prozac 700",Inhalador,Fluoxetina,Oral,"500 mg",active
Ketorolaco,"Toradol 600",Jarabe,Ketorolaco,Tópica,"500 mg",active
Omeprazol,"Prilosec 600",Pomada,Omeprazol,Tópica,"100 ml",active
Metformina,"Glucophage 800",Inhalador,Metformina,Ótica,"250 mg",active
Amoxicilina,"Amoxil 500",Inhalador,Amoxicilina,Oftálmica,"500 mcg",active
Ceftriaxona,"Rocephin 700",Inyectable,Ceftriaxona,Sublingual,"400 mg",active
Loratadina,"Claritin 400",Tabletas,Loratadina,Intramuscular,"500 mg",active
Diclofenaco,"Voltaren 400",Gotas,Diclofenaco,Rectal,"850 mg",active
Clonazepam,"Klonopin 300",Inyectable,Clonazepam,Intramuscular,"50 mg/ml",active
Atorvastatina,"Lipitor 600",Pomada,Atorvastatina,Oftálmica,"250 mg",active
Losartan,"Cozaar 200",Tabletas,Losartan,Sublingual,"250 mg",active
Ciprofloxacino,"Cipro 500",Inyectable,Ciprofloxacino,Rectal,"5 ml",active
Atorvastatina,"Lipitor 700",Jarabe,Atorvastatina,Inhalatoria,"100 mg",active
Naproxeno,"Aleve 100",Tabletas,Naproxeno,Intramuscular,"2 mg",active
Loratadina,"Claritin 300",Supositorios,Loratadina,Tópica,"1 g",active
Ceftriaxona,"Rocephin 300",Gotas,Ceftriaxona,Tópica,"100 ml",active
Loratadina,"Claritin 600",Gotas,Loratadina,Oral,"10 mg",active
Ceftriaxona,"Rocephin 900",Suspensión,Ceftriaxona,Intramuscular,"850 mg",active
Azitromicina,"Zithromax 400",Tabletas,Azitromicina,Oral,"10 mg",active
Naproxeno,"Aleve 100",Supositorios,Naproxeno,Rectal,"400 mg",active
Dexametasona,"Decadron 600",Supositorios,Dexametasona,Intravenosa,"20 mg",active
Ketorolaco,"Toradol 500",Supositorios,Ketorolaco,Intramuscular,"250 mg",active
Omeprazol,"Prilosec 600",Crema,Omeprazol,Rectal,"1 g",active
Amoxicilina,"Amoxil 300",Gotas,Amoxicilina,Intramuscular,"1 g",active
Clonazepam,"Klonopin 900",Cápsulas,Clonazepam,Intravenosa,"2 mg",active
Amoxicilina,"Amoxil 600",Jarabe,Amoxicilina,Rectal,"250 mg",active
Clonazepam,"Klonopin 600",Inhalador,Clonazepam,Intravenosa,"2 mg",active
Sertralina,"Zoloft 400",Suspensión,Sertralina,Tópica,"50 mg/ml",active
Ceftriaxona,"Rocephin 800",Gotas,Ceftriaxona,Inhalatoria,"850 mg",active
Loratadina,"Claritin 500",Gotas,Loratadina,Rectal,"500 mcg",active
Paracetamol,"Tylenol 400",Jarabe,Paracetamol,Rectal,"850 mg",active
Paracetamol,"Tylenol 100",Jarabe,Paracetamol,Rectal,"10 mg",active
Amoxicilina,"Amoxil 400",Tabletas,Amoxicilina,Oftálmica,"250 mg",active
Metformina,"Glucophage 900",Pomada,Metformina,Tópica,"400 mg",active
Diclofenaco,"Voltaren 900",Suspensión,Diclofenaco,Ótica,"100 ml",active
